sku_id,sku_name,sales_month,monthly_revenue,prev_month_revenue,revenue_change,pct_change_revenue,monthly_units,prev_month_units
1133,Electronics_Mobile Accessories_1133,2025-09-01,1353.9999618530273,6739.980018615723,-5385.980056762695,-79.91,40,208
1146,Snacks_Chocolates_1146,2021-03-01,1034.7900390625,4517.100006103516,-3482.3099670410156,-77.09,51,246
1022,Household_Cleaning Supplies_1022,2025-09-01,2466.900032043457,10635.320129394531,-8168.420097351074,-76.80,45,206
1172,Electronics_Chargers_1172,2025-09-01,4991.799896240234,21101.09976196289,-16109.299865722656,-76.34,44,198
1031,Snacks_Chips_1031,2021-09-01,809.3100242614746,3412.5000076293945,-2603.18998336792,-76.28,53,235
1086,Grocery_Rice_1086,2021-03-01,1024.080020904541,4280.620094299316,-3256.5400733947754,-76.08,68,312
1080,Snacks_Chips_1080,2021-09-01,1001.25,4114.83006477356,-3113.5800647735596,-75.67,45,201
1108,Dairy_Butter_1108,2021-03-01,2555.799980163574,10409.659965515137,-7853.8599853515625,-75.45,65,288
1038,Electronics_Cables_1038,2025-09-01,4666.159942626953,18952.329635620117,-14286.169692993164,-75.38,47,202
1032,Snacks_Chocolates_1032,2021-09-01,667.0399932861328,2629.9199838638306,-1962.8799905776978,-74.64,44,182
1021,Grocery_Canned Goods_1021,2023-09-01,1239.689992904663,4860.349945068359,-3620.6599521636963,-74.49,43,188
1107,Electronics_Mobile Accessories_1107,2022-03-01,7716.960144042969,30184.950271606445,-22467.990127563477,-74.43,48,226
1012,Beverages_Juices_1012,2021-03-01,930.6000080108643,3636.1599407196045,-2705.5599327087402,-74.41,66,286
1199,Electronics_Cables_1199,2024-09-01,11954.279922485352,46644.559646606445,-34690.279724121094,-74.37,52,215
1025,Household_Detergent_1025,2025-04-01,412.9799876213074,1591.399990081787,-1178.4200024604797,-74.05,49,229
1121,Grocery_Rice_1121,2022-03-01,1849.0399589538574,7077.3600215911865,-5228.320062637329,-73.87,58,263
